district,chiefdom,health_facility,name,population,year,source
Tonkolili,Yoni,MCHP KumrabaiYoni,"Yoni, MCHP KumrabaiYoni",5752,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Magbassabana,"Yoni, MCHP Magbassabana",4737,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Magbaesa,"Yoni, MCHP Magbaesa",4697,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Roneitta,"Yoni, MCHP Roneitta",4772,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Bathbana,"Yoni, MCHP Bathbana",4778,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Makeni Rokfula,"Yoni, MCHP Makeni Rokfula",4929,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Magbafth,"Yoni, MCHP Magbafth",3785,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,CHC  Mathoir,"Yoni, CHC  Mathoir",6491,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Rokimbi,"Yoni, MCHP Rokimbi",5787,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Mamaka,"Yoni, MCHP Mamaka",4343,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Makelleh,"Yoni, MCHP Makelleh",3670,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Makondu,"Yoni, MCHP Makondu",3655,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Petifu fulamansa,"Yoni, MCHP Petifu fulamansa",3879,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Robarie,"Yoni, MCHP Robarie",3247,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Macrogba.,"Yoni, MCHP Macrogba.",3383,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,CHP Masengbeh,"Yoni, CHP Masengbeh",2905,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Mananie,"Yoni, MCHP Mananie",1135,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Masiperr,"Yoni, MCHP Masiperr",1235,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Matawa,"Yoni, MCHP Matawa",,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Magbosie,"Yoni, MCHP Magbosie",1159,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,,Gbonkolenken,65299,2016,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kafe Simira,,Kafe Simira,24901,2017,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kalansogoia,,Kalansogoia,23613,2018,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Mabang,,Kholifa Mabang,18360,2019,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,,Kholifa Rowalla,60291,2020,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,,Kunike,60344,2021,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike Barina,,Kunike Barina,17502,2022,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Malal Mara,,Malal Mara,20116,2023,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Sambaya Bendugu,,Sambaya Bendugu,28503,2024,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Tane,,Tane,26654,2025,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,,Yoni,117449,2026,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
