district,chiefdom,health_facility,name,yr_2015,yr_2017,,,,
Tonkolili,Yoni,Masengbeh CHP,"Yoni, Masengbeh CHP",2905,2949,,,,
Tonkolili,Yoni,Rochen Kamandao CHP,"Yoni, Rochen Kamandao CHP",4175,4237,,,,
Tonkolili,Yoni,Rorocks CHP,"Yoni, Rorocks CHP",4616,4685,,,,
Tonkolili,Yoni,Bath Bana MCHP,"Yoni, Bath Bana MCHP",4778,4849,,,,
Tonkolili,Yoni,Bonkababay MCHP,"Yoni, Bonkababay MCHP",3467,3519,,,,
Tonkolili,Yoni,Foindu (Yoni) MCHP,"Yoni, Foindu (Yoni) MCHP",3067,3113,,,,
Tonkolili,Yoni,Kumrabai Yoni MCHP,"Yoni, Kumrabai Yoni MCHP",5752,5838,,,,
Tonkolili,Yoni,Macrogba CHP,"Yoni, Macrogba CHP",3383,3433,,,,
Tonkolili,Yoni,Magbaesa MCHP,"Yoni, Magbaesa MCHP",4697,4767,,,,
Tonkolili,Yoni,Magbaft MCHP,"Yoni, Magbaft MCHP",3785,3842,,,,
Tonkolili,Yoni,Magbassabana MCHP,"Yoni, Magbassabana MCHP",4737,4808,,,,
Tonkolili,Yoni,Magboki Road Mile 91 CHP,"Yoni, Magboki Road Mile 91 CHP",2435,2472,,,,
Tonkolili,Yoni,Magbosie MCHP,"Yoni, Magbosie MCHP",1159,1177,,,,
Tonkolili,Yoni,Makelleh MCHP,"Yoni, Makelleh MCHP",3670,3725,,,,
Tonkolili,Yoni,Makeni-Rokfullah MCHP,"Yoni, Makeni-Rokfullah MCHP",4929,5002,,,,
Tonkolili,Yoni,Makundu MCHP,"Yoni, Makundu MCHP",3655,3710,,,,
Tonkolili,Yoni,Mamaka (Yoni) MCHP,"Yoni, Mamaka (Yoni) MCHP",4343,4408,,,,
Tonkolili,Yoni,Mananie MCHP,"Yoni, Mananie MCHP",1135,1152,,,,
Tonkolili,Yoni,Maseprr MCHP,"Yoni, Maseprr MCHP",1235,1254,,,,
Tonkolili,Yoni,Matawa MCHP,"Yoni, Matawa MCHP",,1825,,,,
Tonkolili,Yoni,Mayorgbor MCHP,"Yoni, Mayorgbor MCHP",4111,4173,,,,
Tonkolili,Yoni,Petifu Fulamasa MCHP,"Yoni, Petifu Fulamasa MCHP",3879,3937,,,,
Tonkolili,Yoni,Robarie MCHP,"Yoni, Robarie MCHP",3247,3296,,,,
Tonkolili,Yoni,Rokimbi MCHP,"Yoni, Rokimbi MCHP",5787,5874,,,,
Tonkolili,Yoni,Ronietta MCHP,"Yoni, Ronietta MCHP",4772,4844,,,,
Tonkolili,Yoni,Yonibana MCHP,"Yoni, Yonibana MCHP",5282,5361,,,,
Tonkolili,Yoni,,Yoni,117449,121035,,,,
